f_spot,T_spot,f_facula,T_facula,wavelength,D_lambda
0.13444444444444442,3040.0,nan,nan,864.0,5916.885135543209
0.13444444444444442,3070.0,nan,nan,864.0,5878.709682333333
0.15,2800.0,nan,nan,864.0,6247.262245
0.15,2830.0,nan,nan,864.0,6209.0715834444445
0.15,2860.0,nan,nan,864.0,6170.880921888889
0.15,2890.0,nan,nan,864.0,6132.690260333333
0.15,2920.0,nan,nan,864.0,6094.4995987777775
0.15,2950.0,nan,nan,864.0,6054.066741444444
0.15,2980.0,nan,nan,864.0,6011.391688333334
0.15,3010.0,nan,nan,864.0,5968.716635222222
0.15,3040.0,nan,nan,864.0,5926.041582111111
0.15,3070.0,nan,nan,864.0,5883.366529
0.01,2800.0,nan,nan,1325.0,5599.247645
0.01,2830.0,nan,nan,1325.0,5597.596387666667
